player_fifa_api_id,player_name,overall_rating
176676,Marcelo,83
183498,Marco Parolo,80
188350,Marco Reus,86
199556,Marco Verratti,84
171877,Marek Hamsik,82
192789,Mario Gaspar,80
192318,Mario Goetze,84
150418,Mario Gomez,81
181783,Mario Mandzukic,82
192615,Marko Basa,80
207865,Marquinhos,81
182495,Martin Caceres,80
13111,Martin Laursen,81
166706,Martin Skrtel,81
1611,Martin Stranzl,80
186547,Mateo Pablo Musacchio,81
177326,Mathieu Valbuena,80
178603,Mats Hummels,86
184392,Matteo Darmian,81
198009,Mattia Perin,81
201399,Mauro Icardi,80
183574,Max Kruse,81
193116,Maxime Gonalons,80
177509,Mehdi Benatia,83
176635,Mesut Oezil,88
3647,Michael Ballack,80
21146,Michael Carrick,80
137677,Michel Vorm,80
3813,Mickael Landreau,81
110677,Miguel Angel Moya,80
185132,Mikel San Jose,80
180206,Miralem Pjanic,84
168609,Miranda,85
209331,Mohamed Salah,80
177358,Morgan Schneiderlin,82
162240,Moussa Dembele,80
177604,Nacho Monreal,80
171919,Naldo,84
139068,Nani,82
190456,Nathaniel Clyne,80
191202,Nemanja Matic,83
140601,Nemanja Vidic,81
190871,Neymar,90
184144,Nicolas Gaitan,83
188829,Nicolas N'Koulou,80
192366,Nicolas Otamendi,84
215466,Nikola Maksimovic,80
135567,Nilmar,83
199561,Nolito,82
170797,Nuri Sahin,81
178509,Olivier Giroud,82
185239,Omer Toprak,81
190149,Oscar de Marcos,80
188152,Oscar,82
142784,Pablo Zabaleta,82
52091,Patrice Evra,81
198077,Patrick Herrmann,81
195864,Paul Pogba,86
246,Paul Scholes,80
211110,Paulo Dybala,81
6235,Pavel Nedved,80
189505,Pedro Rodriguez,83
24630,Pepe Reina,81
120533,Pepe,84
53612,Per Mertesacker,83
48940,Petr Cech,86
53914,Phil Jagielka,81
194957,Phil Jones,80
121939,Philipp Lahm,87
189242,Philippe Coutinho,84
188567,Pierre-Emerick Aubameyang,84
208808,Quincy Promes,80
167397,Radamel Falcao,82
178518,Radja Nainggolan,83
210342,Rafael,80
144622,Raffael,81
202652,Raheem Sterling,81
179783,Ralf Faehrmann,83
184943,Ramires,80
